FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
1,60.016772,0.46,Negative,18065,17504,17552,17508,18732,17310,16730,15953,17084,17654,0,16104,17978,17690,0,17995,20329,18007,0,16774
3,61.017302,0.46,Negative,0,3910,3909,3892,4058,3983,3563,3497,3890,3992,0,0,4859,3776,3965,3987,4468,3887,3970,3772
7,61.988787,7.25,Negative,367353,291493,0,0,0,142533,31817,0,0,289168,0,1013812,0,320076,26057,270349,0,0,131538,0
6,61.988846,18.25,Negative,264383,268703,272369,0,0,280192,264281,253273,0,253700,0,257294,0,271449,0,275553,278267,0,0,266607
4,61.988942,20.81,Negative,322881,312454,339718,1083642,328364,325937,975363,959286,310110,1069793,955309,993813,0,1026332,1098524,340621,314946,324387,320138,305638
9,68.995409,0.45,Negative,18582,0,25420,19093,19135,0,22799,23078,19665,0,8324,20643,25909,27755,0,24627,0,22813,0,24728
10,76.970192,20.84,Negative,0,0,0,0,0,0,0,0,0,165384,0,0,0,0,0,0,0,0,0,0
12,78.965599,18.22,Negative,38925,40167,39044,40947,41088,40551,37422,36110,35647,38455,38182,36541,39891,39241,40127,40427,40870,40675,39226,38479
13,78.965773,20.78,Negative,20863,21619,21686,20747,21002,20781,19799,19308,19043,21422,19366,18131,20877,21183,21597,21577,21000,20534,20409,19575
16,79.956636,0.47,Negative,18709,8520,17547,8727,19300,7478,13016,9709,15351,3193,3462,12736,10624,4873,10937,13042,3839,8571,6822,4116
17,79.957209,18.24,Negative,15037,11156,13083,11492,14616,14267,13760,11251,13398,12782,13811,11826,11958,10745,11243,11921,10792,14638,14847,11694
19,87.00279,0.44,Negative,0,0,10324,7462,0,8451,0,0,10086,5918,7832,8838,10891,8142,9400,0,7715,8700,5235,4765
20,89.023905,0.47,Negative,27198,0,20017,13528,23658,11793,13561,13587,17229,9415,10824,14988,11741,9570,17448,15524,10999,12291,12470,10477
21,94.980388,20.84,Negative,0,0,57120,57634,55129,57136,0,50135,50894,54245,49193,0,58888,53438,0,0,54808,54168,0,52006
23,96.959579,20.13,Negative,56814,49778,81054,49913,80381,53373,42868,42292,47667,81227,49325,46871,49347,48119,50493,83067,51951,79823,52924,51440
25,96.95973,20.44,Negative,0,33908,0,31467,0,0,31640,31969,26169,0,29890,31947,29530,32294,32519,0,28023,0,25088,0
24,96.960155,20.87,Negative,0,0,0,0,14293,14097,0,0,13414,13411,0,12901,13782,13883,14822,0,13611,14327,14460,12505
22,96.960443,18.24,Negative,98087,95957,89463,79515,90994,95053,91400,90236,90878,84715,94563,90683,88828,89739,92445,93936,92022,97565,90395,91838
30,96.975298,20.78,Negative,11095,11495,11851,10242,11412,6439,8453,8380,10351,10591,11073,9595,11306,10820,11589,5972,11393,8688,10986,10211
32,98.938507,20.2,Negative,0,11768,0,12598,14486,25496,10059,0,11048,0,0,0,11249,0,11111,14261,12477,12583,11032,11905
33,98.938692,20.58,Negative,23498,0,0,11397,11175,0,0,0,7994,10112,0,0,9461,11355,9998,10091,9276,9658,9986,9151
31,98.938778,18.04,Negative,10461,10564,9752,11340,9324,9572,9095,6971,8516,10726,7463,7461,11063,10957,9689,11593,9428,9979,9862,8888
39,98.97127,18.21,Negative,24126,24771,23994,24279,24192,23950,22044,21111,21815,23833,22162,21486,23562,24817,24239,23593,25128,23727,22618,21795
40,98.971354,20.77,Negative,7816,8383,7982,7934,7185,7385,6768,6701,6449,7801,6668,6111,7840,8031,8029,7636,7929,7584,7028,6683
44,99.925417,20.22,Negative,0,134875,0,64725,94687,67448,61107,49037,52397,115852,47892,43217,133298,118542,126006,80706,76042,62078,57731,73022
43,99.925645,18.08,Negative,160138,96535,140568,78099,81686,126351,60144,55525,64885,152829,58523,108039,98835,79286,136349,79796,69648,69064,71092,111395
47,100.933309,20.22,Negative,0,520586,0,300424,357969,274106,206074,199930,265363,523741,190329,187546,505726,0,0,280709,294534,263911,239432,238855
49,100.933388,20.57,Negative,516155,0,478210,217030,245309,200585,176921,168690,171791,0,179856,164261,0,483839,455040,212695,204797,0,219641,193015
48,100.933484,17.33,Negative,531215,482457,504127,513509,619806,487227,0,390107,444276,0,386011,0,503825,568900,483352,641087,522856,0,0,514842
46,100.933551,18.08,Negative,276648,251080,254029,259862,278381,223604,198664,179576,206790,281452,183895,184284,270277,267808,236529,282049,235087,264127,255381,217552
55,101.93307,20.21,Negative,0,0,0,36052,34866,33389,24541,23850,26209,0,25492,18806,34951,0,56124,35403,32602,33003,31388,32143
54,101.93314,20.57,Negative,52469,63970,48271,25570,28809,23777,21297,19266,20355,60439,22124,20325,24845,28545,0,25438,21760,23212,21591,23744
53,101.933247,18.08,Negative,32933,33150,30075,28539,31925,26126,22716,20785,24588,32374,21849,22897,31702,30520,29745,32949,30268,29050,28135,25670
62,116.928116,20.9,Negative,80733,62927,84099,65311,0,0,0,48950,48801,91709,0,47703,76419,54410,58882,67186,52452,59817,57483,0
61,116.928192,18.35,Negative,161474,141951,146340,153337,143410,135421,123656,116097,110907,167536,116299,112900,157860,155762,149273,151215,130820,137318,137887,113610
65,117.928001,18.34,Negative,19288,16454,18413,17312,17980,13434,0,0,0,18561,0,0,18576,18305,17421,17925,15342,0,0,0
67,122.968954,18.22,Negative,12219,12273,10594,11743,9978,10087,6308,8162,6675,11444,8096,7543,10290,12169,10999,10903,10786,10273,8804,8383
69,124.006965,0.49,Negative,66434,24116,56594,25899,83311,19469,42888,28366,58149,9574,5975,39463,34063,5181,37536,44395,6672,29654,16944,9329
70,127.000665,18.07,Negative,5163,5046,4985,5248,0,4799,0,0,0,0,4836,0,5779,5446,4795,0,4679,0,0,4596
71,129.091431,20.32,Negative,8920,18508,16631,7296,17224,8008,0,0,0,8007,0,0,16264,17223,0,18468,0,17664,0,14547
74,135.030324,0.49,Negative,6527,5706,7366,0,10907,4437,6239,4488,8375,0,0,6009,4505,0,5943,5985,0,4527,0,0
75,136.936583,20.82,Negative,150882,131082,159105,160012,120618,164988,0,170455,122867,146142,156070,138687,158153,148325,153925,164638,119741,160594,166806,149202
78,137.026502,20.19,Negative,12947,0,26448,27146,13750,18978,0,0,0,19981,0,0,8941,25311,9194,13494,9283,14047,12550,8677
81,137.935778,18.76,Negative,0,15262,0,51550,0,25503,25572,0,25657,23997,25950,27304,0,0,0,26770,24116,0,26290,8906
