FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
1,64.005151,20.45,Positive,18644,18215,18184,18163,0,16559,16678,0,0,18566,16243,17752,19299,18601,18077,0,0,0,0,17126
3,81.068916,17.04,Positive,11776,8900,13302,14911,11723,10298,7055,11498,17736,0,0,0,0,4041,0,0,0,0,0,0
5,83.059678,17.99,Positive,0,0,28274,24432,0,22027,0,45057,28556,21290,22839,0,21685,21322,0,19024,20183,19973,21911,24602
4,83.059705,20.49,Positive,31771,32000,33102,30437,24842,27056,33470,33865,33839,32140,27777,33226,32735,25868,32615,31366,32616,33382,28090,33197
6,87.09091,20.7,Positive,10750,10176,9538,9906,8608,8864,7974,8871,8406,10381,7691,8265,10064,10064,9885,8735,8848,8604,8213,8670
7,87.090969,18.14,Positive,17280,17029,14975,14916,13611,13596,13250,13197,12193,16911,11681,12456,15476,14308,16045,13901,13436,13500,13119,13383
9,91.053433,1.07,Positive,5192,6867,10086,9408,8370,8507,7895,6609,7022,9654,0,7008,5766,7296,9888,6038,5185,0,7885,5957
11,96.079871,18.0,Positive,21201,23501,26796,27406,24560,58830,28604,61178,59154,22928,66533,25026,24076,23671,25177,23448,23645,25806,26497,27440
10,96.079924,20.51,Positive,28972,31046,31914,32508,32178,33235,34659,35760,34942,28475,35211,35160,32730,30238,32221,32187,34194,33270,36352,34140
14,97.075227,17.4,Positive,0,0,44952,58439,47487,53559,0,46014,61231,0,67025,0,0,0,0,0,92839,85053,0,96297
13,97.075524,18.01,Positive,40780,48819,45136,59620,47449,50615,64693,71031,61870,38119,64876,59660,40028,46821,45272,55392,48354,53915,53201,0
12,97.075554,20.53,Positive,54877,56588,62790,69067,64639,91523,70823,73631,76049,52914,76552,77708,55846,60888,84686,72290,74373,71439,72828,71842
17,121.100077,1.08,Positive,0,9246,12742,11956,10837,12168,10352,8173,9191,14423,0,0,7162,10121,13242,0,0,0,10256,6551
19,127.121721,18.1,Positive,7819,8485,6944,6623,6392,6222,6409,6135,5905,7539,5553,5816,7038,6502,7108,6391,6391,6286,6323,6298
23,133.085181,1.09,Positive,5569,13492,41906,36572,33346,33251,32502,15086,11950,36334,0,13917,15991,14337,42553,11774,12330,0,29187,10388
25,133.132437,18.36,Positive,8271,8392,7204,6565,6018,5686,4695,4905,4945,8658,4733,4658,7159,6940,7178,5472,5972,5321,5848,5534
27,135.115528,17.03,Positive,46955,40958,68559,49224,66590,45517,44175,63011,65389,14214,11231,8843,0,13047,0,10541,11377,0,12596,14724
26,135.116244,1.09,Positive,67089,121464,182504,171351,143428,169265,146696,114676,99736,187360,90892,111356,92575,125343,182489,114556,81480,44578,153379,87826
28,136.119184,1.09,Positive,8575,0,0,0,0,18976,0,0,12875,0,10154,0,12027,12844,21050,12581,9509,6030,0,0
29,139.1219,18.11,Positive,28435,27997,25659,25735,23999,24195,24563,23716,23428,27941,21922,23513,26078,24843,32741,28371,24363,24195,24283,25015
31,141.112472,20.72,Positive,34716,33427,31826,32936,28582,29057,27129,28678,29581,33734,28949,31640,33171,32887,33929,29614,29643,28924,27250,29662
32,141.112568,18.15,Positive,43839,43634,38792,39041,36247,35721,36558,36786,34942,43254,35345,36438,40836,37279,42581,36419,35089,37669,36119,37136
36,142.118404,18.19,Positive,0,0,4189,4392,4565,4881,4261,4779,5086,0,4783,4978,0,4521,4125,0,4687,5042,5054,0
35,142.12127,20.39,Positive,0,22347,20125,25044,23108,24944,32973,41151,40197,18729,39324,41578,20697,21446,25311,27090,29651,29655,33645,35690
37,145.132174,18.13,Positive,0,9830,8827,11513,10624,8116,10645,8015,9838,13125,9915,8280,9142,8505,9327,10937,0,0,8083,9930
41,147.115501,17.03,Positive,49856,44692,98633,54727,68604,49600,46620,70366,69928,15012,14238,9299,0,0,0,0,11443,0,13417,14881
40,147.115586,1.05,Positive,8229,6439,5911,5535,5649,4527,7679,5064,0,5555,0,5110,5457,0,4697,5985,0,6922,6542,4648
45,149.022769,20.19,Positive,568756,578290,506162,526327,0,471373,0,428164,413094,0,429549,0,0,0,0,469875,486371,454883,0,407888
46,149.058379,1.03,Positive,0,0,0,0,0,0,0,0,0,0,5383,0,0,0,0,0,0,4975,0,0
48,149.13101,17.03,Positive,44462,38013,70815,49202,62342,44465,42599,64228,62294,10387,10452,0,0,13547,0,7145,10364,0,10204,12438
47,149.131395,1.07,Positive,15249,24164,38797,32366,29528,31536,28420,23227,23521,37451,17991,27009,19068,25447,37419,23934,18042,9604,30501,17291
49,150.025898,1.94,Positive,16104,12547,11866,13529,9703,9501,13687,10052,11488,11526,10238,9863,14366,12424,17670,12177,14563,10476,9690,13331
50,151.096022,1.09,Positive,83452,227495,768890,731077,556906,640658,619401,264762,205532,667530,204029,249461,252850,231369,792738,195487,184634,29516,554834,150002
51,151.121574,18.12,Positive,7526,8039,6892,6816,6413,6385,6478,6382,6314,8172,6067,6472,6965,6513,7378,6863,6607,6608,6105,6759
