FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
1,60.99339,3.19,Negative,12829,0,0,0,12801,0,13522,0,0,14157,0,0,11480,0,13312,14039,13229,13265,14168,0
3,61.988496,0.92,Negative,154140,202291,173785,139788,0,0,67425,67436,64688,75044,113694,0,0,0,170301,0,64641,0,0,179308
5,71.013834,6.73,Negative,4884,6050,7303,5983,6688,8496,9076,11215,9568,5407,6271,4989,0,5151,0,0,0,0,0,6154
4,71.013934,1.82,Negative,0,13601,9066,9850,21284,8014,12832,9551,17123,16450,38827,25629,47291,54358,14902,21083,14251,9822,14558,43931
6,76.970088,20.77,Negative,0,0,0,0,0,56166,0,0,0,0,0,0,0,0,0,0,0,0,0,7172
10,76.970091,21.97,Negative,0,0,0,0,0,20163,0,0,0,0,0,0,0,0,0,0,0,0,0,3465
12,76.970132,21.57,Negative,0,0,0,0,0,36895,0,0,0,0,0,0,0,0,0,0,0,0,0,41215
8,76.970137,19.4,Negative,0,0,0,0,0,3779,0,0,0,0,0,0,0,0,0,0,0,0,0,39143
11,76.97014,21.19,Negative,0,0,0,0,0,18331,0,0,0,0,0,0,0,0,0,0,0,0,0,2697
7,76.970152,19.68,Negative,0,0,0,0,0,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,53514
13,76.970154,18.48,Negative,0,0,0,0,0,79986,0,0,0,0,0,0,0,0,0,0,0,0,0,49004
14,76.970185,19.02,Negative,0,0,0,0,0,51832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,76.970196,20.27,Negative,0,0,0,0,0,48049,0,0,0,0,0,0,0,0,0,0,0,0,0,21737
15,78.959294,7.51,Negative,322918,117601,109545,364839,419271,136028,518766,579137,486962,105668,459859,151620,0,0,267990,338797,244804,175177,287588,432040
18,79.957299,3.94,Negative,13147,16342,0,17359,20417,20992,25116,33646,23927,16867,20609,16953,0,11793,7064,9310,6314,7330,0,21446
