FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
1,58.064924,3.42,Positive,9401,25364,17807,7912,26139,17991,41962,25644,52974,46433,76968,24443,5626,0,85519,145019,62725,57317,122606,114307
5,59.060133,4.78,Positive,0,0,0,0,0,27018,27597,0,25729,0,0,0,0,0,0,0,0,0,0,27337
4,59.060194,3.69,Positive,0,14735,0,14854,0,13789,11235,0,13424,14702,0,0,18639,0,0,0,18559,16000,17563,13176
2,59.067315,2.98,Positive,0,13249,15389,14319,0,13966,25006,12408,12380,14179,0,10891,15085,16112,0,12263,22276,15620,0,0
3,59.06767,3.23,Positive,20369,12699,0,13079,12686,11947,0,10939,0,0,16279,0,13112,13375,17554,15103,0,0,17963,12677
7,60.080512,3.67,Positive,6858,5534,5369,6374,0,9010,10131,14197,10328,7071,6715,0,6434,3314,4767,0,4571,3784,5908,8496
9,72.080203,3.24,Positive,4769,4891,0,5784,0,5026,6183,0,0,4484,4565,4082,0,0,0,3824,0,0,3537,3740
8,72.080256,2.98,Positive,4961,6402,6144,8016,0,6132,8742,10010,13839,5893,5410,4731,8642,0,0,6622,0,0,4915,6215
10,74.096005,3.38,Positive,0,0,4944,4713,0,4821,4566,0,0,3343,0,4210,4663,4792,4013,0,3795,0,0,4147
11,76.075658,3.42,Positive,12098,17622,16466,0,21121,9956,26583,15796,74659,46744,106952,23303,0,0,62009,203610,86810,0,166045,156541
13,77.091016,3.24,Positive,129947,147340,0,142457,209830,139302,135860,0,124171,163809,151054,263091,152484,168084,0,129142,0,137557,11616,108236
12,77.09117,2.97,Positive,147573,179343,177083,191485,0,159573,173938,171236,157916,194549,169134,0,180233,175850,211869,181461,193084,148157,176416,167806
14,84.043729,6.48,Positive,0,4889,3907,4767,4256,5580,8204,13763,6426,3777,4455,0,4172,0,0,2680,0,0,0,4364
15,90.054468,5.11,Positive,19947,29047,31285,30401,27122,33596,38297,42777,39880,28430,31521,23645,33846,22050,10951,16219,13352,12422,13536,36713
16,98.974363,0.31,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11518,0,0
18,103.791253,3.67,Positive,3298,0,0,0,3304,4222,5133,7199,4778,3230,3254,3520,0,0,2564,3259,2352,0,2944,4305
19,104.106991,3.67,Positive,514260,416368,401065,450350,613796,667348,799372,1181531,757340,493501,491890,405234,424179,220037,306879,468163,345687,177664,428323,578269
20,104.991794,5.71,Positive,0,130886,0,133857,140743,124280,144753,130258,132890,138044,142757,131406,124744,0,0,0,0,0,0,122218
21,105.109832,3.67,Positive,25429,19764,0,21617,0,31514,37888,53515,35351,23439,22277,27245,19944,0,15582,21308,18002,12920,19482,26287
23,108.010733,3.1,Positive,10635,21916,21956,24260,20387,27586,29357,28755,24089,22444,23842,16226,22369,14590,6952,9859,7517,5982,8986,24586
24,109.100346,0.71,Positive,4253,0,0,4028,4207,5258,4180,0,4922,0,3447,4809,2698,2909,0,4795,5385,0,0,5068
25,112.04993,1.87,Positive,18810,8465,0,12811,0,10032,26814,21354,17686,16119,24151,34133,10780,0,18407,25376,17949,13697,18858,28711
27,116.069883,3.52,Positive,31770,20828,20014,47887,25118,23661,33659,34386,42642,13592,12993,15698,23301,0,6877,12455,7665,0,0,22051
29,118.086058,2.55,Positive,69909,86301,0,263779,0,94483,144217,184934,102929,216359,258630,156176,152573,70767,70168,184856,107732,54887,109855,274214
28,118.086096,2.75,Positive,119099,128028,0,343940,0,144769,220316,257610,153447,340329,391958,256740,246819,102363,127958,256959,175819,90225,154959,406582
32,119.084628,0.72,Positive,0,0,5634,2043,4298,2987,3224,0,4408,2773,0,0,0,0,0,2832,0,0,3016,4669
30,119.088699,2.75,Positive,0,0,0,0,0,0,0,0,0,0,0,17339,0,0,0,0,0,0,0,0
33,120.080161,2.0,Positive,12876,29214,27734,45279,17542,11418,59260,71933,66126,19860,13473,24449,17663,0,0,14356,0,0,0,29292
34,120.101155,4.16,Positive,4046,6550,0,3382,12114,4755,8773,10282,4518,12039,20410,23745,0,0,0,5309,0,0,0,11473
35,121.100264,0.73,Positive,5724,0,0,5066,8070,7405,5652,2967,8976,4692,0,0,3314,3608,0,6520,8665,0,0,6973
36,123.054705,0.91,Positive,42816,0,69817,58233,65696,92853,92296,120279,54324,47937,48353,68510,98474,50296,15898,17289,0,16624,14460,71835
37,124.057281,0.91,Positive,0,0,0,3541,3629,0,0,6817,0,0,3165,3650,5758,0,0,0,0,0,0,4019
38,124.099731,2.99,Positive,0,125110,121818,132137,0,111004,122572,107901,113578,145942,124689,104893,123625,125654,138030,135535,145604,112424,124878,116341
39,124.099737,3.24,Positive,197372,119883,0,0,149229,112502,0,104453,95969,129560,119938,98795,126780,0,0,0,0,93713,0,0
41,126.021466,3.82,Positive,0,56260,0,60776,55723,61204,98512,113873,79580,55198,65717,53943,64013,28064,0,0,12085,14254,12017,85022
40,126.021803,3.1,Positive,119696,466919,503850,569247,486124,520573,620948,688510,555231,538310,564961,324484,503489,326327,155408,226175,155602,135761,180817,587376
42,127.023134,3.11,Positive,6951,0,12800,0,10659,12562,15237,15705,14185,13282,13158,9224,12956,8537,0,5256,3941,0,0,14362
43,128.017684,3.1,Positive,8967,17385,18822,20552,17413,24094,22900,24705,21164,19175,21043,13829,19442,12884,0,0,0,4899,5842,21723
