FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL10,NL11,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,PB1,PB2,PB3,PB4,isotopes,adduct,pcgroup,Omic,Polarity
1,60.993390174799046,191.12464904785156,12829.343453037276,0,0,0,12801.262301388319,0,13521.791140869043,0,0,14156.819761769975,0,0,11480.159883096687,0,13312.370035570164,14039.433300275827,13229.472697463198,13265.190634254492,14168.225403798067,0,0,0,0,0,,,227,Mx,Negative
2,60.99329282639983,266.7640075683594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687.928099489092,12791.436113783177,12677.56199131389,,,68,Mx,Negative
3,61.988496174759845,54.91932678222656,154140.09660878027,202291.23253566487,173785.11922265502,139788.49692082647,0,0,67425.15283283532,67436.43348613966,64688.28142722083,75044.26663041032,113694.4835662224,0,0,0,170300.81099967432,0,64640.828250882616,0,0,179308.0707270928,0,199289.16673487023,97200.29136402793,0,,,203,Mx,Negative
4,71.01393357512833,109.3208236694336,0,13601.137161553826,9066.349515984795,9849.555844271283,21284.16850075258,8013.75827128567,12831.564180233156,9550.729971890058,17123.4505940518,16450.195585406582,38827.049570049996,25629.302085124844,47290.76824032157,54358.23667132794,14902.298772673339,21082.67975082313,14250.530918329074,9822.463144296487,14557.77910619309,43931.24311622215,0,0,0,0,,,58,Mx,Negative
5,71.01383444803328,403.5210876464844,4884.412472288673,6050.140880435286,7302.523338334032,5982.586496344159,6688.457313535203,8495.94103931833,9075.954969272854,11215.332107944532,9568.273664752103,5406.919560987228,6270.537849806865,4989.247088963003,0,5150.54819599595,0,0,0,0,0,6153.966604353158,0,0,0,0,,,52,Mx,Negative
6,76.97008752388606,1246.3160400390625,0,0,0,0,0,56165.608537562905,0,0,0,0,0,0,0,0,0,0,0,0,0,7171.508215931409,17698.540117063723,2707.3267279152283,0,0,,,98,Mx,Negative
7,76.97015182993064,1181.0084228515625,0,0,0,0,0,2605.0727825714685,0,0,0,0,0,0,0,0,0,0,0,0,0,53514.07787563645,51403.36882847652,14486.960873581891,0,0,,,84,Mx,Negative
8,76.97013715766178,1164.2083740234375,0,0,0,0,0,3778.691364851014,0,0,0,0,0,0,0,0,0,0,0,0,0,39143.47805126669,44414.41894596038,7915.724941697019,0,0,,,109,Mx,Negative
9,76.9701962352855,1215.9285888671875,0,0,0,0,0,48048.83343128418,0,0,0,0,0,0,0,0,0,0,0,0,0,21736.723568668607,1451.7575087406499,5985.1823112153925,0,0,,,105,Mx,Negative
10,76.97009124175253,1317.99169921875,0,0,0,0,0,20162.540053753022,0,0,0,0,0,0,0,0,0,0,0,0,0,3464.757021188438,22530.91646917351,31311.244002463718,0,0,,,119,Mx,Negative
11,76.97013964941536,1271.1897583007812,0,0,0,0,0,18331.234982598537,0,0,0,0,0,0,0,0,0,0,0,0,0,2696.7324069979636,3215.5637645773095,67447.15640519357,0,0,,,94,Mx,Negative
12,76.9701320662748,1294.1038818359375,0,0,0,0,0,36894.62758579636,0,0,0,0,0,0,0,0,0,0,0,0,0,41215.09144938119,34043.31950375802,36712.46739405577,0,0,,,102,Mx,Negative
13,76.9701535045069,1108.9456176757812,0,0,0,0,0,79985.60310191823,0,0,0,0,0,0,0,0,0,0,0,0,0,49003.96753801703,12758.8870198766,45468.91125413371,0,0,,,49,Mx,Negative
14,76.97018508362193,1141.4130859375,0,0,0,0,0,51831.69558221091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3625.2266482216696,38047.75378789593,0,0,,,100,Mx,Negative
15,78.95929432071901,450.73561096191406,322917.93831145123,117601.28870013914,109545.34089639336,364839.3975195958,419271.23739788396,136028.2752289298,518766.3257833681,579137.1928277878,486961.86688640196,105667.6277778477,459858.55896981055,151620.10557684672,0,0,267990.18387863797,338796.97160139866,244803.65696131342,175176.80180959334,287588.3633352698,432039.9314992926,0,0,0,0,,,19,Mx,Negative
16,78.95908160042461,608.927490234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131649.02873247283,109681.0872730845,,,392,Mx,Negative
17,79.95769355972716,191.12464904785156,84274.43174543492,109380.06133418475,144515.94086281367,124783.35779836164,123399.4240082551,136382.4855047111,166660.22438820623,202890.66352398586,149241.10752762872,112551.09474225901,139399.33261682285,111771.7565469117,104662.71923264838,82332.92076970228,39877.525973440905,61254.27650928375,46665.637402498505,42897.664424215945,63081.86742118209,151468.43755909675,0,0,0,0,,,3,Mx,Negative
18,79.95729920182022,236.6848602294922,13146.856761486473,16342.016971477988,0,17359.083066926123,20416.502750255186,20992.18457797631,25115.930562015168,33645.8299323569,23927.179923120002,16867.084305108732,20609.020656564157,16952.529881073195,0,11792.545302991794,7063.845531701736,9309.876147842677,6313.844895823843,7329.5380829226915,0,21446.18631511992,0,0,0,0,,,60,Mx,Negative
