FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL10,NL11,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,PB1,PB2,PB3,PB4,isotopes,adduct,pcgroup,Omic,Polarity
1,58.06492428381726,205.45772552490234,9401.095878338067,25363.670003099585,17807.08031476575,7911.505179721816,26139.160159407307,17990.63915607304,41961.77123833322,25644.07132698636,52974.04238207682,46432.58908285309,76968.49721785812,24443.243165624728,5626.068048512194,0,85519.17120656786,145018.58545974398,62724.742591680144,57317.28584240567,122606.47324627,114307.03771978278,0,0,0,0,,,746,Mx,Positive
2,59.06731494167081,179.0274429321289,0,13249.232272060048,15388.725993993743,14319.26326896957,0,13966.143544193475,25005.50887774114,12407.535085682975,12379.506797847585,14178.656249535521,0,10890.607571261291,15085.013808360558,16112.315058974993,0,12262.776929391432,22275.863289378194,15620.089004683736,0,0,0,0,0,0,,,38,Mx,Positive
3,59.06766985620653,193.7132110595703,20369.25128959128,12698.682232875812,0,13079.331365165333,12686.151404928156,11946.856109056273,0,10938.747135396607,0,0,16279.037929180437,0,13112.4208905723,13374.91639900395,17554.49366574709,15102.83399865652,0,0,17963.253924074146,12676.927537613414,0,0,0,0,,,811,Mx,Positive
4,59.06019374630105,221.67611694335938,0,14735.07114402372,0,14853.566674063763,0,13788.853555816739,11234.659375411813,0,13424.103187354382,14702.220550789307,0,0,18638.652368943942,0,0,0,18558.63891962236,16000.360196124548,17563.00588492358,13176.13485828582,0,0,25285.05371827578,20151.993013042545,,,803,Mx,Positive
5,59.060133467657,286.9972229003906,0,0,0,0,0,27018.145700946785,27596.719010514033,0,25729.01982106018,0,0,0,0,0,0,0,0,0,0,27337.339664232688,15344.087244371094,19394.546366830236,0,0,,,628,Mx,Positive
6,59.060110909172366,9.733528137207031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27384.186275574917,39802.22114233757,19182.426571417313,23322.338612329895,,,122,Mx,Positive
7,60.08051153389954,220.0467987060547,6858.187261026149,5533.508605168765,5369.351816042598,6374.281841331365,0,9010.35562613761,10131.484408515127,14197.432825782524,10327.65825412729,7070.591739047116,6715.333119022703,0,6434.258949060242,3314.1032381100026,4767.128983785067,0,4571.047439188539,3783.674068511354,5907.5792657330085,8496.445599536402,0,0,0,0,,,40,Mx,Positive
8,72.08025565372009,178.57827758789062,4961.469838534863,6402.394855912464,6143.995914586721,8016.462701330029,0,6132.494387372347,8741.501010668111,10010.100066772122,13838.897391376531,5892.734683531667,5409.99844838042,4731.1124557738,8642.343457321238,0,0,6621.829417308266,0,0,4914.668332269712,6215.063749558743,0,0,0,0,,,38,Mx,Positive
9,72.08020329938894,194.25360107421875,4769.000240243903,4890.707868905693,0,5784.323070283787,0,5026.018623703288,6182.962764894438,0,0,4483.610831392106,4564.684381021455,4082.4868372253013,0,0,0,3823.7644511080757,0,0,3536.915224808862,3739.7772954435027,0,0,0,0,,,812,Mx,Positive
10,74.09600525900977,203.0340118408203,0,0,4944.103019961305,4713.365872490152,0,4821.176310380368,4566.008083041223,0,0,3343.376366159816,0,4210.12811614307,4663.018442163183,4791.610835347743,4013.140421739013,0,3794.9977677501543,0,0,4147.312325901279,0,0,0,0,,,750,Mx,Positive
