Omic,Polarity,Feature.ID,mz,rt,MS2.spectra.name,Candidate.number,Compound.name,CAS.ID,HMDB.ID,KEGG.ID,Lab.ID,Adduct,mz.error,mz.match.score,RT.error,RT.match.score,CE,SS,Total.score,Database
Lx,Positive,LP00001,64.00515,1226.857788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00002,64.00525,1586.659975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00003,81.06892,1022.177246,NA,NA,Acetone,67-64-1,HMDB0001659,C00207,HMDB0001659,(M+Na)+,1.29111660374548,0.996302448210178,NA,NA,NA,0,0.996302448210178,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00004,83.0597,1229.580261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00005,83.05968,1079.442139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00006,87.09091,1241.917542,NA,NA,gamma-Butyrolactone,96-48-0,HMDB0000549,C01770,HMDB0000549,(M+H)+,13.9755031691635,0.647891106777591,NA,NA,NA,0,0.647891106777591,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00007,87.09097,1088.342529,NA,NA,gamma-Butyrolactone,96-48-0,HMDB0000549,C01770,HMDB0000549,(M+H)+,13.828439589787,0.653805029372974,NA,NA,NA,0,0.653805029372974,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00008,87.09106,1762.246975,NA,NA,gamma-Butyrolactone,96-48-0,HMDB0000549,C01770,HMDB0000549,(M+H)+,13.6008686581945,0.662937388795843,NA,NA,NA,0,0.662937388795843,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00009,91.05343,63.994642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00010,96.07992,1230.659639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00011,96.07987,1080.118347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00012,97.07555,1232.039551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00013,97.07552,1080.442261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00014,97.07523,1043.835571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00015,97.07548,1748.487475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00016,107.08443,65.323792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00017,121.10008,64.837955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00018,124.08606,1671.462475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00019,127.12172,1085.768982,NA,NA,3-Hexenedioic acid,29311-53-3,HMDB0000393,NA,HMDB0000393,(M+H-H2O)+,0.69860572985192,0.998916032438216,NA,NA,NA,0,0.998916032438216,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00020,127.12189,1604.452475,NA,NA,3-Hexenedioic acid,29311-53-3,HMDB0000393,NA,HMDB0000393,(M+H-H2O)+,0.26442076151767,0.999844637982992,NA,NA,NA,0,0.999844637982992,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00021,130.15805,1739.792975,NA,NA,"(2E,4E)-2,4-Hexadienoic acid",110-44-1,HMDB0029581,NA,HMDB0029581,(M+NH4)+,5.87232996153375,0.926230933628569,NA,NA,NA,0,0.926230933628569,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00022,130.15816,1597.820975,NA,NA,"(2E,4E)-2,4-Hexadienoic acid",110-44-1,HMDB0029581,NA,HMDB0029581,(M+NH4)+,5.60281981876187,0.932618471159148,NA,NA,NA,0,0.932618471159148,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00023,133.08518,65.161392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00024,133.09969,1021.84549,NA,NA,gamma-Butyrolactone,96-48-0,HMDB0000549,C01770,HMDB0000549,(M+HCOO+2H)+,5.76568771855079,0.928789013395988,NA,NA,NA,0,0.928789013395988,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00025,133.13244,1101.847412,NA,NA,2-Deoxyribonic acid,29625-75-0,HMDB0000366,NA,HMDB0000366,(M+H-H2O)+,14.5914102104427,0.623048028448004,NA,NA,NA,0,0.623048028448004,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00026,135.11624,65.31451,NA,NA,"(2E,4E)-2,4-Hexadienoic acid",110-44-1,HMDB0029581,NA,HMDB0029581,(M+Na)+,1.10896091953805,0.997270854637847,NA,NA,NA,0,0.997270854637847,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00027,135.11553,1021.825623,NA,NA,"(2E,4E)-2,4-Hexadienoic acid",110-44-1,HMDB0029581,NA,HMDB0029581,(M+Na)+,0.681156732298405,0.998969476922974,NA,NA,NA,0,0.998969476922974,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00028,136.11918,65.328106,NA,NA,Butanone,78-93-3,HMDB0000474,C02845,HMDB0000474,(M+CH3CN+Na)+,5.78923378384388,0.928227631223106,NA,NA,NA,0,0.928227631223106,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00029,139.1219,1086.532308,NA,NA,3-Hexanone,589-38-8,HMDB0000753,NA,HMDB0000753,(M+K)+,0.500312701632311,0.999443904013354,NA,NA,NA,0,0.999443904013354,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00030,139.12194,1760.061975,NA,NA,3-Hexanone,589-38-8,HMDB0000753,NA,HMDB0000753,(M+K)+,0.396720831048469,0.999650311338031,NA,NA,NA,0,0.999650311338031,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00031,141.11247,1242.985046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00032,141.11257,1089.223206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00033,141.1128,1609.411975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00034,141.11274,1764.386975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00035,142.12127,1223.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00036,142.1184,1091.174194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00037,145.13217,1087.65918,NA,NA,3-Hexenedioic acid,29311-53-3,HMDB0000393,NA,HMDB0000393,(M+H)+,1.06538129223566,0.997480873232393,NA,NA,NA,0,0.997480873232393,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00038,145.13251,1397.431641,NA,NA,3-Hexenedioic acid,29311-53-3,HMDB0000393,NA,HMDB0000393,(M+H)+,0.217356269800462,0.99989501940413394,NA,NA,NA,0,0.99989501940413394,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00039,145.13248,1762.676975,NA,NA,3-Hexenedioic acid,29311-53-3,HMDB0000393,NA,HMDB0000393,(M+H)+,0.308412720002593,0.999788648102717,NA,NA,NA,0,0.999788648102717,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00040,147.11559,62.774874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00041,147.1155,1021.902924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lx,Positive,LP00042,149.02305,116.798385,NA,NA,Butanone,78-93-3,HMDB0000474,C02845,HMDB0000474,(M-H+2K)+,4.37911049658624,0.9582805577666,NA,NA,NA,0,0.9582805577666,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00043,149.02278,357.293427,NA,NA,Butanone,78-93-3,HMDB0000474,C02845,HMDB0000474,(M-H+2K)+,5.04282319496951,0.94505584567757706,NA,NA,NA,0,0.94505584567757706,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00044,149.02278,1073.931396,NA,NA,Butanone,78-93-3,HMDB0000474,C02845,HMDB0000474,(M-H+2K)+,5.05283815286361,0.944843530973724,NA,NA,NA,0,0.944843530973724,HMDB with LIPIDMAPS_2023-02-15
Lx,Positive,LP00045,149.02277,1211.623901,NA,NA,Butanone,78-93-3,HMDB0000474,C02845,HMDB0000474,(M-H+2K)+,5.077938053617,0.944309779105034,NA,NA,NA,0,0.944309779105034,HMDB with LIPIDMAPS_2023-02-15
