FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4,Blank__mean,mzClusterID,FeatureClusterID,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean,L1_mean_isotopes,L2_mean_isotopes,L3_mean_isotopes,L4_mean_isotopes,L5_mean_isotopes,L6_mean_isotopes,L7_mean_isotopes,L8_mean_isotopes,L9_mean_isotopes,NL1_mean_isotopes,NL2_mean_isotopes,NL3_mean_isotopes,NL4_mean_isotopes,NL5_mean_isotopes,NL6_mean_isotopes,NL7_mean_isotopes,NL8_mean_isotopes,NL9_mean_isotopes,NL10_mean_isotopes,NL11_mean_isotopes,Polarity
1658,68.9951,0.444933333,45599.40778,39323.64343,64100.479,69801.68123,56599.35389,60378.07738,54743.598,7812.853846,48442.40457,57596.53798,61986.06619,55862.085,18689.15822,58153.69056,60146.62985,68718.92677,71172.26286,64176.66382,50321.29257,58844.346,0.0,0.0,0.0,0.0,0.0,1.0,1,45599,39324,64100,69802,56599,60378,54744,7813,48442,57597,61986,55862,18689,58154,60147,68719,71172,64177,50321,58844,,,,,,,,,,,,,,,,,,,,,Negative
2085,71.0128,0.436108333,2333.18776145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426.18110845,675.4782623,387.8601608,374.5821285,479.3068506,479.30685055,2.0,2,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426,,,,,,,,,,,,,,,,,,,,,Negative
2089,75.9618,21.48158333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.100829375,0.0,0.0,0.0,541.44,1125.318604,551.368,739.3755345,739.375534625,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,,,,,,,,,,,,,,,,,,,,,Negative
1754,79.9562,0.446833333,27592.31682666667,7472.0254466666665,6340.187116666668,8374.094316666668,9579.308716666668,30804.06222666667,19152.833986666665,25008.541116666667,39322.74325666667,13411.266566666667,14865.972616666668,2616.852686666667,0.0,0.0,0.0,0.0,0.0,16073.851666666667,15571.585206666668,10265.628046666667,0.0,9797.31,9665.2842,6729.23845,8730.610883333333,4.0,4,27592,7472,6340,8374,9579,30804,19153,25009,39323,13411,14866,2617,0,0,0,0,0,16074,15572,10266,,,,,,,,,,,,,,,,,,,,,Negative
2092,88.0394,0.46245,7466.442754975,3102.795415975,3441.4728119750002,3601.923972975,3694.339154975,9831.743954975,5565.681881975,7831.507725975,10023.102654975,3242.794137975,5679.878487974999,2757.772353975,0.0,0.0,0.0,0.0,0.0,5534.130518974999,4889.591954975,3817.4948689750004,321.502609,383.0186462,345.6912799,350.070845,350.070845025,5.0,5,7466,3103,3441,3602,3694,9832,5566,7832,10023,3243,5680,2758,0,0,0,0,0,5534,4890,3817,,,,,,,,,,,,,,,,,,,,,Negative
1604,89.0237,0.446283333,37729.73342725,21784.98971725,24209.611427249998,27491.60902725,22201.74782725,60919.471677249996,22210.98080725,38310.96687725,63973.00924725,17192.86342725,29392.49496725,11838.69650725,15136.535867249999,18546.836427249997,24784.06552725,17708.09582725,18412.147827250003,43381.208027249995,30923.78362725,24723.751427249998,2088.84,2567.6186,2186.957118,2281.138573,2281.13857275,6.0,6,37730,21785,24210,27492,22202,60919,22211,38311,63973,17193,29392,11839,15137,18547,24784,17708,18412,43381,30924,24724,,,,,,,,,,,,,,,,,,,,,Negative
2051,96.9594,12.8328,11838.858705000002,29121.184545,11535.627915000001,8576.311645000002,11842.352895,8595.613765000002,10669.776035000003,10705.354145000001,12556.394005000002,11317.536635,14880.436015000003,30889.287335000005,21292.153165,9138.430335000001,11685.886765000003,14287.561265,8265.965255000003,10136.978915000003,18684.942665000002,18568.069395000002,13952.28326,15760.37964,9142.4648,12951.70924,12951.709234999998,7.0,7,11839,29121,11536,8576,11842,8596,10670,10705,12556,11318,14880,30889,21292,9138,11686,14288,8266,10137,18685,18568,,,,,,,,,,,,,,,,,,,,,Negative
2094,96.9594,13.7259,0.0,5599.817907500001,0.0,0.0,6659.1657175,16819.8896075,0.0,4246.078107500001,2905.515197500001,0.0,0.0,25851.318587499998,36313.5737675,0.0,0.0,27650.941107500003,47967.854367500004,0.0,0.0,0.0,15375.79421,27627.68183,17789.91864,20264.46489,20264.4648925,7.0,8,0,5600,0,0,6659,16820,0,4246,2906,0,0,25851,36314,0,0,27651,47968,0,0,0,,,,,,,,,,,,,,,,,,,,,Negative
2095,96.9594,14.35825,4562.890793333336,8450.656223333335,12411.342393333332,2171.0489633333345,26993.748463333333,0.0,0.0,17001.295813333334,14995.076573333336,12195.670693333333,38644.83546333334,6707.306023333334,0.0,8775.703623333335,6685.299983333334,10198.114243333333,4255.474163333332,14627.935483333335,29741.881663333337,11853.409603333334,22381.63033,17776.63338,0.0,14260.0699,18139.444536666666,7.0,9,4563,8451,12411,2171,26994,0,0,17001,14995,12196,38645,6707,0,8776,6685,10198,4255,14628,29742,11853,,,,,,,,,,,,,,,,,,,,,Negative
2102,116.0706,0.470125,2309.601599775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2321.456000775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5524231,113.5279823,144.2053413,119.4285822,119.428582225,10.0,12,2310,0,0,0,0,0,0,0,2321,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Negative
