FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean
1658,68.9951,0.444933333,Negative,45599,39324,64100,69802,56599,60378,54744,7813,48442,57597,61986,55862,18689,58154,60147,68719,71172,64177,50321,58844
2085,71.0128,0.436108333,Negative,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426
2089,75.9618,21.48158333,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0
1754,79.9562,0.446833333,Negative,27592,7472,6340,8374,9579,30804,19153,25009,39323,13411,14866,2617,0,0,0,0,0,16074,15572,10266
2092,88.0394,0.46245,Negative,7466,3103,3441,3602,3694,9832,5566,7832,10023,3243,5680,2758,0,0,0,0,0,5534,4890,3817
1604,89.0237,0.446283333,Negative,37730,21785,24210,27492,22202,60919,22211,38311,63973,17193,29392,11839,15137,18547,24784,17708,18412,43381,30924,24724
2051,96.9594,12.8328,Negative,11839,29121,11536,8576,11842,8596,10670,10705,12556,11318,14880,30889,21292,9138,11686,14288,8266,10137,18685,18568
2094,96.9594,13.7259,Negative,0,5600,0,0,6659,16820,0,4246,2906,0,0,25851,36314,0,0,27651,47968,0,0,0
2095,96.9594,14.35825,Negative,4563,8451,12411,2171,26994,0,0,17001,14995,12196,38645,6707,0,8776,6685,10198,4255,14628,29742,11853
2102,116.0706,0.470125,Negative,2310,0,0,0,0,0,0,0,2321,0,0,0,0,0,0,0,0,0,0,0
2103,121.0287,0.513133333,Negative,3094,3715,3671,3874,3409,3736,4007,4246,3778,4670,2576,2748,2968,4390,3940,4599,2484,4750,2924,3728
2104,122.0843,0.482658333,Negative,9808,2699,4026,4086,3905,6151,4192,3574,7059,4112,5643,6087,2370,3435,3641,0,3781,2628,5496,4581
1665,124.0071,0.45395,Negative,100408,36207,42343,47595,51522,106749,82237,123074,140271,54298,69618,27517,7512,12726,8567,6649,12006,60122,74339,43372
2105,126.0019,0.456908333,Negative,5012,0,2256,2230,2167,4281,3535,6074,7218,3133,3607,0,0,0,0,0,0,3271,3792,2165
2106,126.9033,0.446125,Negative,3359,2022,2227,2311,5385,0,2706,3002,0,2299,0,0,0,0,0,0,2447,2537,2877,3257
2109,128.0341,0.433158333,Negative,4455,2096,0,2232,2229,6736,2234,3256,4606,2787,0,0,2657,0,0,0,0,6230,3528,3302
2110,129.0542,0.459016667,Negative,0,0,0,0,0,3703,0,0,0,0,2159,0,0,0,0,0,0,0,0,0
2111,130.0863,0.480891667,Negative,6326,2047,2525,3389,3522,4530,4635,5042,10391,2779,3071,0,0,0,0,0,0,2601,3038,2963
2115,134.0464,0.485983333,Negative,15260,0,2799,0,2643,4009,4022,3631,9664,2781,19524,10564,3679,3837,4819,5992,0,3139,15099,12985
2116,135.0298,0.464833333,Negative,13260,3752,5037,5918,6154,9586,8167,10314,14416,6135,7685,0,0,0,0,0,2100,7782,7381,4430
2117,137.0345,0.446533333,Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4046,0,0
638,141.0173,0.485433333,Negative,441662,30380,98190,89883,188992,188752,131251,133718,252061,159585,141171,198234,37090,147135,27830,23327,63355,90434,178904,193737
1785,143.1072,0.626216667,Negative,14747,10653,17554,15704,17105,33118,14055,10844,18585,25833,17898,20673,12498,21789,18011,17539,16631,14492,13160,18403
2122,145.0612,0.487916667,Negative,11040,5290,6264,2515,5732,12064,10025,12206,16549,5109,12599,5175,0,4216,3265,3663,0,7831,11941,9074
2123,145.0859,0.465575,Negative,11580,2063,2403,2469,2898,13586,10124,2417,0,2387,3099,6628,2682,2809,2512,3258,2498,8637,2012,8772
2124,146.0446,0.443583333,Negative,8845,0,0,2664,2803,6705,4512,7127,12041,3341,2975,2199,0,0,0,0,0,2341,3651,2404
2028,150.0016,0.58575,Negative,7489,6143,5621,5506,6338,8077,5316,6581,6466,6138,6351,6482,4186,5818,6077,5783,5936,6489,6057,7077
2128,151.0254,0.466766667,Negative,15521,3347,3900,6367,6418,5336,8015,16217,18249,4623,3964,0,0,0,0,0,0,6087,5082,5033
1973,152.0014,0.432666667,Negative,6539,0,3758,3632,4119,12898,5084,9242,18494,9223,15278,5065,2724,4986,2862,2468,0,7122,11853,12949
2129,152.9856,0.4147,Negative,2993,3563,6006,3675,2741,2708,2736,4769,0,2624,3806,2545,0,0,0,2668,0,2063,4634,8294
2131,156.9263,18.23233333,Negative,8980,8323,6745,6746,29374,4956,9038,8115,28562,28790,7431,7186,8189,7200,4656,6462,7779,6385,5823,7643
2134,157.0973,18.23216667,Negative,0,0,0,0,0,2951,0,0,0,2590,0,2429,2098,0,2398,0,0,0,0,2565
2135,157.1229,4.872333333,Negative,6200,3273,0,7162,6584,4997,7688,3708,2194,5861,4852,2900,6348,3330,9101,4233,3425,9415,6604,2911
530,157.1233,0.69465,Negative,110099,104231,113153,140629,154086,202381,105253,96641,146476,205164,180153,159970,129703,162066,183970,148554,136670,132039,102434,46104
2141,161.0449,0.451433333,Negative,0,0,0,0,2701,0,0,0,2012,0,0,0,0,8269,0,0,0,0,0,0
2144,163.0757,0.513316667,Negative,0,2102,0,0,2123,2235,0,2190,2154,0,2525,2302,2557,2049,0,2080,0,2004,2686,0
2147,164.0706,0.484108333,Negative,3626,0,0,0,0,2420,3742,2959,10103,0,0,0,0,0,0,0,0,0,0,0
2148,165.0399,16.99741667,Negative,22580,8464,8933,15670,10915,8160,6347,10026,10218,6824,5958,5727,5606,6384,29194,6231,6129,6160,6204,6359
2149,166.017,0.430516667,Negative,0,0,0,0,0,0,0,0,2616,0,3646,0,0,0,0,0,0,0,2091,0
2150,166.0506,0.63005,Negative,2325,2487,2679,2845,3221,0,2468,2764,2838,4689,3043,3262,0,2457,0,2538,2557,2593,2469,2474
2153,168.9805,0.4147,Negative,4259,0,0,0,0,0,0,0,0,0,0,0,2935,0,0,0,0,2033,0,0
2154,169.0858,3.21835,Negative,0,0,2393,0,0,0,0,2313,4544,2675,0,2360,0,0,2080,0,0,0,0,0
2155,169.0863,0.466316667,Negative,2446,0,2214,2237,2905,4669,2115,0,2821,0,2752,0,2823,0,3051,2779,0,4436,0,7914
2156,169.1226,0.676083333,Negative,0,0,0,0,0,2353,0,0,0,2813,0,0,0,0,0,0,0,0,2866,0
2017,171.0657,0.573033333,Negative,7251,8369,0,0,0,40166,3408,2274,0,0,3221,0,5663,5721,3341,11110,2863,0,8003,0
313,171.1383,0.812483333,Negative,10854,17876,19616,16578,19476,29830,15732,19717,17668,28148,19418,24936,25434,28958,32594,22944,21016,20806,13620,7075
2159,171.1383,14.440375,Negative,26148,0,0,17972,0,0,0,0,0,0,7612,0,0,0,0,0,0,0,0,0
