FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean
530,151.096131,1.061441667,Positive,2010,6085,5582,2520,2189,0,4790,7559,5394,2135,0,5439,0,5188,0,2368,0,7797,2393,0
505,191.179294,1.061616667,Positive,6060,17159,13820,9660,9588,4334,12158,18192,13684,7334,8351,15317,6628,15942,6580,11610,7132,18857,7833,2341
914,219.174056,7.0094,Positive,0,0,0,0,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,219.174161,6.662033333,Positive,0,0,0,0,0,6648,0,0,0,0,0,0,0,2463,0,0,0,0,0,2512
711,284.294592,6.607433333,Positive,0,0,0,0,2549,0,0,0,0,2074,0,0,0,0,0,0,0,0,0,0
690,290.284347,4.64565,Positive,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,297.241684,1.06145,Positive,2052,3727,3475,2455,2317,0,2879,4504,3331,0,2169,3859,0,3918,0,2613,0,4636,2231,0
584,298.310391,5.982991667,Positive,2779,0,2470,2277,3198,2485,2006,2412,0,2499,2175,2096,0,2456,0,2504,0,2255,0,0
700,299.257532,11.336725,Positive,0,0,0,0,2253,0,0,2165,0,0,0,0,0,0,0,0,0,2039,0,0
624,310.310279,5.374333333,Positive,0,0,2531,0,2133,5839,0,0,0,0,0,0,0,0,2798,0,0,0,0,0
868,321.314274,6.31195,Positive,0,0,0,0,0,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,332.278734,1.061575,Positive,2221,5782,4625,3501,3051,0,3966,4786,4417,0,3335,4330,2503,5854,2210,4324,2556,5916,2771,0
852,332.330718,2.144483333,Positive,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,336.32538,3.106583333,Positive,0,0,0,2739,0,0,0,0,0,0,0,0,0,0,3427,0,0,0,0,0
545,339.267545,1.034466667,Positive,5458,2000,2743,2881,3003,4086,2461,2744,3526,2788,3207,3083,0,2335,0,0,2577,2130,3164,2516
626,340.357088,6.709441667,Positive,2607,0,2174,2170,2427,0,0,2028,0,0,0,0,0,0,0,2060,2019,0,0,0
529,341.26775,1.061366667,Positive,0,4906,5390,2529,0,0,4624,7535,5298,2256,0,5305,0,5130,0,2011,0,7560,2393,0
669,346.332785,11.336725,Positive,0,0,2173,2016,2560,0,2012,2395,0,2259,2032,0,0,2088,0,2075,0,2285,0,0
687,352.320661,3.42115,Positive,3674,0,0,5204,3268,2354,2993,0,0,2786,0,0,3558,0,6841,0,2775,2432,4780,0
163,357.279066,1.034475,Positive,137377,51203,68229,69519,72839,100131,62291,68301,89364,69064,78604,76749,48048,57912,48324,35118,62548,53066,78484,61683
55,360.310197,1.163583333,Positive,5101,6778,5213,7226,2476,0,5788,8508,6978,2476,3449,9798,3777,7537,2420,4422,3065,9656,3566,0
786,368.424725,5.905716667,Positive,0,0,0,0,2095,4584,0,0,0,0,0,0,4983,0,0,0,0,3693,3330,0
33,369.35019,17.007,Positive,420850,293239,330712,753853,260382,291119,76624,490724,449294,27592,55428,76320,79120,75000,69082,93639,90623,41867,50487,55031
612,369.350576,8.490358333,Positive,14189,3171,3530,4291,3770,5774,3555,3987,3862,2109,0,0,0,0,0,0,0,0,0,0
659,371.314838,6.056958333,Positive,0,0,0,0,0,0,0,0,0,0,0,0,2130,4386,0,0,0,0,0,2245
500,375.288867,1.034475,Positive,31499,12980,15901,16206,17499,23929,15253,16193,21559,17055,18271,18807,11989,14632,12288,9272,15566,12506,19322,15851
22,376.259332,0.842758333,Positive,44845,28466,35555,36982,47458,38057,36050,37376,27297,0,35380,35557,28223,34346,26356,39211,31399,37737,30716,30909
11,376.30409,1.07445,Positive,11076,28115,31237,13341,10155,4979,26304,35284,26680,12536,9387,25021,9038,28824,8533,10784,7468,36432,11425,2674
493,376.394097,8.3941,Positive,2997,2621,3365,2839,3268,2750,2775,2492,2576,3600,3711,3536,5810,6003,5457,6811,5617,4585,3629,4296
482,381.297389,5.461766667,Positive,6662,5080,6292,8582,7550,6900,5786,6599,5216,6723,4580,4814,4950,6633,5363,6625,6009,5899,4970,5229
471,383.398773,6.311958333,Positive,5900,3965,5812,6253,4365,4269,5774,4714,3820,3877,4770,4668,5516,3146,6455,3004,6113,4057,5350,5037
449,386.325886,4.660175,Positive,6642,6303,7719,6779,8130,7004,6699,7419,5755,8257,6917,6387,6893,8623,6614,8097,7631,8176,6713,6826
438,393.285605,0.842666667,Positive,0,0,0,0,0,0,0,0,0,38497,0,0,0,0,0,0,0,0,0,0
578,404.33587,1.15215,Positive,3194,10460,5832,4982,0,0,6294,5712,5261,2836,0,6357,4202,3422,0,0,0,10426,2647,0
646,408.30971,0.942783333,Positive,3658,0,0,0,0,2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,410.326181,1.034525,Positive,175563,80764,96200,82212,93317,137101,94520,83805,131006,104319,109722,96874,71986,87890,56110,35015,94222,74881,109408,78321
405,415.281136,1.022341667,Positive,34955,14574,18840,18069,21903,31772,17291,20363,27491,24061,21513,20982,16452,22702,14668,14624,20014,15983,19939,17924
596,416.372601,6.057625,Positive,3119,0,0,2783,0,0,0,0,0,0,2499,0,4343,4488,2115,0,0,0,0,4241
512,420.330697,1.06145,Positive,4601,5771,14598,4980,3264,0,11999,16354,8033,3889,3394,6939,2651,7790,3708,2646,2339,14570,5456,0
394,421.316747,0.842666667,Positive,29288,18347,17972,24732,16671,12438,24554,16979,15996,16094,20946,22660,20256,12369,16325,16812,21930,18188,21856,19805
830,424.449467,9.4269,Positive,2910,0,2582,2906,0,0,0,0,0,2556,0,0,2209,2671,2159,2298,2171,0,0,0
518,426.320678,0.705591667,Positive,15196,2594,3791,4237,4594,8829,3660,4094,7450,4406,5110,5210,2279,3427,2754,0,3738,2604,5708,3956
674,429.37086,7.550383333,Positive,0,2435,0,0,2496,5028,3083,5650,3352,0,0,0,0,0,0,0,0,0,0,0
607,431.253932,1.02225,Positive,3084,0,0,0,0,2406,0,0,2582,0,2037,0,0,0,0,0,0,0,2034,0
371,431.383209,4.830716667,Positive,9049,4367,0,8984,5974,3925,11120,4623,3156,6094,5032,3620,9509,3358,10440,4728,6710,10177,11270,2435
382,431.3833,5.036808333,Positive,7709,3896,0,8645,5851,3903,9144,3896,2708,5006,4480,3241,8402,2945,8990,3858,5613,8231,9059,5639
620,436.341405,5.955083333,Positive,0,0,2513,2089,0,0,0,0,0,0,0,5843,0,0,0,0,0,0,0,2311
559,438.355916,1.096466667,Positive,12720,5458,5608,8361,5074,5516,6932,4865,8258,4707,7558,8466,5687,3091,6087,2560,7841,3766,9461,8433
991,447.34473,20.15583333,Positive,2996,0,3255,3369,0,0,0,0,3049,3210,0,0,0,0,2882,0,0,0,0,0
360,452.482218,10.6085,Positive,6024,4767,6070,6927,5934,4068,5529,5248,3969,5757,3673,3765,4370,5480,4262,4260,4179,4090,3781,3732
579,456.382971,6.649683333,Positive,0,0,2399,2132,2137,19426,0,0,0,0,0,0,4245,6507,3341,0,0,0,0,4233
754,457.328165,3.694066667,Positive,3287,0,0,0,0,2757,0,0,0,0,0,2033,0,0,0,0,0,0,0,0
