FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean
3,89.0247,1.95,Negative,0,2076,2132,2394,2329,3261,3250,5070,4180,2570,0,0,0,0,0,0,0,2701,3009,0
4,122.0859,3.0,Negative,4552,4546,4768,4493,4882,4238,4407,4170,4021,4899,4935,5222,4913,4544,4958,4258,4748,3820,5027,4519
5,124.0074,3.85,Negative,0,0,0,0,0,0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0
6,124.0076,3.45,Negative,3693,5062,5102,5461,5643,5909,7319,9363,6907,5500,5658,3375,0,2537,2040,2072,2064,6455,6189,5036
7,124.0079,3.133,Negative,5138,6977,6636,6864,8083,7849,10851,12570,9068,6864,8934,4889,2678,3325,2722,2895,2891,8786,8173,6979
8,133.0144,6.983,Negative,0,0,0,0,0,0,2070,2567,2220,0,0,0,0,0,0,0,0,0,0,0
9,133.0145,6.7,Negative,0,0,2406,0,2300,2785,3204,3930,3096,0,2376,0,0,0,0,0,0,0,0,0
11,141.0176,5.717,Negative,14904,14685,14830,14754,16931,14572,16122,15929,15221,14881,13698,14424,14964,17162,15885,14442,16239,13649,16485,15716
14,151.0265,1.517,Negative,2949,2492,2110,2771,3285,3479,4080,5294,4023,2327,0,0,0,0,0,0,0,3030,2622,0
15,156.991,5.367,Negative,0,0,0,0,0,0,2335,2978,2174,0,0,0,0,0,0,0,0,0,0,0
16,191.0202,7.8,Negative,4893,9405,2702,6978,7909,5875,4785,7587,6950,7165,10326,0,2472,4240,2991,2044,2297,8859,7589,5842
19,234.9237,17.9,Negative,0,0,0,0,0,0,0,0,6999,0,0,0,0,0,0,0,0,0,0,0
21,234.9239,10.65,Negative,5134,3554,0,3128,4549,2864,3641,2085,2274,4998,2267,0,0,2160,0,5328,7625,3134,3272,4285
