FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4,Blank__mean,mzClusterID,FeatureClusterID,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean,L1_mean_isotopes,L2_mean_isotopes,L3_mean_isotopes,L4_mean_isotopes,L5_mean_isotopes,L6_mean_isotopes,L7_mean_isotopes,L8_mean_isotopes,L9_mean_isotopes,NL1_mean_isotopes,NL2_mean_isotopes,NL3_mean_isotopes,NL4_mean_isotopes,NL5_mean_isotopes,NL6_mean_isotopes,NL7_mean_isotopes,NL8_mean_isotopes,NL9_mean_isotopes,NL10_mean_isotopes,NL11_mean_isotopes,Polarity
1,77.0911,3.2,0.0,0.0,0.0,0.0,2095.3927611125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875056998,1.407118711,1.709246507,1.736237334,1.6819148875,1.0,1,0,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Positive
3,104.107,3.667,5493.21048707025,4342.01822107025,4678.82499507025,4703.11448307025,6118.1859450702495,7274.6276090702495,8660.83561607025,11657.65737507025,8322.23529507025,4880.188580070249,4318.43830807025,2590.66422307025,3209.3820090702498,5125.81596207025,3961.9467090702497,3000.23530607025,4359.4878760702495,6016.53062607025,5300.02167207025,5600.27607907025,3.3371972,3.871657174,4.610080176,4.501125169,4.08001492975,2.0,2,5493,4342,4679,4703,6118,7275,8661,11658,8322,4880,4318,2591,3209,5126,3962,3000,4359,6017,5300,5600,,,,,,,,,,,,,,,,,,,,,Positive
5,118.0861,2.417,0.0,0.0,0.0,2449.91666727,0.0,0.0,0.0,0.0,0.0,2194.01567827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.50162927,2396.42290727,0.0,12.16363021,13.11118674,14.50758348,13.37127849,13.288419730000001,3.0,3,0,0,0,2450,0,0,0,0,0,2194,0,0,0,0,0,0,0,2889,2396,0,,,,,,,,,,,,,,,,,,,,,Positive
6,118.0861,2.65,0.0,0.0,0.0,3021.535821461,0.0,0.0,2109.442617461,2191.082787461,0.0,3280.6663734609997,2359.925051461,0.0,0.0,2214.3064664609997,0.0,0.0,0.0,3896.925277461,3770.350948461,2560.410606461,9.900538616,11.61456573,12.33860541,15.0217644,12.218868539,4.0,4,0,0,0,3022,0,0,2109,2191,0,3281,2360,0,0,2214,0,0,0,3897,3770,2560,,,,,,,,,,,,,,,,,,,,,Positive
10,126.0217,3.4,0.0,2303.077531713,2213.321805713,2627.848621713,0.0,2928.408167713,3930.500767713,5067.006987713001,3350.907871713,2211.574884713,3074.754717713,0.0,0.0,0.0,0.0,0.0,0.0,3318.288283713,2814.582427713,0.0,3.489798102,4.837798055,5.027004546,6.571760445,4.9815902869999995,5.0,5,0,2303,2213,2628,0,2928,3931,5067,3351,2212,3075,0,0,0,0,0,0,3318,2815,0,,,,,,,,,,,,,,,,,,,,,Positive
11,126.0219,3.033,2404.979915935,3376.098603935,3323.783696935,3836.822842935,3175.6487059349997,3998.666729935,5117.599971935,5674.862839935,4745.805629935,3450.098011935,4181.358505935001,2265.564998935,0.0,0.0,0.0,0.0,0.0,4449.175211935,4221.3719569350005,2971.427849935,1.576129024,2.245593295,2.191944021,2.42984992,2.110879065,6.0,6,2405,3376,3324,3837,3176,3999,5118,5675,4746,3450,4181,2266,0,0,0,0,0,4449,4221,2971,,,,,,,,,,,,,,,,,,,,,Positive
12,132.0767,5.1,11076.53501536975,7881.59879136975,8167.58011536975,8725.78799636975,14251.37627536975,8149.56925736975,11534.59611536975,12963.15680536975,10891.47757536975,8592.31668936975,0.0,6076.44773136975,3203.80732836975,4870.72555836975,3640.2985103697497,7262.54303436975,3886.16485636975,11581.903075369752,8756.951019369752,12310.11372536975,2.626773151,2.41127695,3.69391406,3.57553436,3.07687463025,7.0,7,11077,7882,8168,8726,14251,8150,11535,12963,10891,8592,0,6076,3204,4871,3640,7263,3886,11582,8757,12310,,,,,,,,,,,,,,,,,,,,,Positive
14,137.0458,1.433,8185.962430871249,11097.12098587125,10246.77723587125,10830.35599587125,2178.59425687125,11940.67570587125,20154.40460587125,20762.03326587125,12702.47549587125,11888.50585587125,14199.47962587125,7010.388977871249,5493.861851871249,7281.6546388712495,5633.1825628712495,5371.073541871249,6419.15209587125,16077.13167587125,15681.71018587125,13062.96208587125,2.851099907,2.333246681,2.181945147,2.50280478,2.46727412875,8.0,8,8186,11097,10247,10830,2179,11941,20154,20762,12702,11889,14199,7010,5494,7282,5633,5371,6419,16077,15682,13063,,,,,,,,,,,,,,,,,,,,,Positive
15,162.1123,5.283,4071.37519366325,10605.92260466325,6867.10756166325,7290.45578066325,5522.16021966325,8533.17640966325,7597.5414046632495,14707.84017466325,5705.60979366325,6047.64490266325,14519.07211466325,11566.64422466325,0.0,2956.01585966325,2015.51140666325,0.0,4156.22711066325,8540.50439966325,11684.64216466325,10985.670204663249,4.055553,3.127865852,3.657190752,4.953651743,3.9485653367499998,9.0,9,4071,10606,6867,7290,5522,8533,7598,14708,5706,6048,14519,11567,0,2956,2016,0,4156,8541,11685,10986,,,,,,,,,,,,,,,,,,,,,Positive
17,176.9704,13.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565.443568,0.0,0.0,0.0,0.0,0.0,10.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,,,,,,,,,,,,,,,,,,,,,Positive
