FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean,NL10_mean,NL11_mean
1,77.0911,3.2,Positive,0,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,104.107,3.667,Positive,5493,4342,4679,4703,6118,7275,8661,11658,8322,4880,4318,2591,3209,5126,3962,3000,4359,6017,5300,5600
5,118.0861,2.417,Positive,0,0,0,2450,0,0,0,0,0,2194,0,0,0,0,0,0,0,2889,2396,0
6,118.0861,2.65,Positive,0,0,0,3022,0,0,2109,2191,0,3281,2360,0,0,2214,0,0,0,3897,3770,2560
10,126.0217,3.4,Positive,0,2303,2213,2628,0,2928,3931,5067,3351,2212,3075,0,0,0,0,0,0,3318,2815,0
11,126.0219,3.033,Positive,2405,3376,3324,3837,3176,3999,5118,5675,4746,3450,4181,2266,0,0,0,0,0,4449,4221,2971
12,132.0767,5.1,Positive,11077,7882,8168,8726,14251,8150,11535,12963,10891,8592,0,6076,3204,4871,3640,7263,3886,11582,8757,12310
14,137.0458,1.433,Positive,8186,11097,10247,10830,2179,11941,20154,20762,12702,11889,14199,7010,5494,7282,5633,5371,6419,16077,15682,13063
15,162.1123,5.283,Positive,4071,10606,6867,7290,5522,8533,7598,14708,5706,6048,14519,11567,0,2956,2016,0,4156,8541,11685,10986
17,176.9704,13.983,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565
21,176.9705,10.917,Positive,2588,0,2511,2651,2129,0,2896,0,2868,3344,2119,2014,2879,2526,0,0,4193,2235,0,2379
25,176.9708,8.1,Positive,4422,21101,20368,18148,0,20275,21144,20178,20677,22525,17990,18071,16134,20458,21044,4864,17874,21014,22271,3089
26,184.073,7.967,Positive,0,2076,2351,0,2173,0,3901,3932,4583,0,0,0,0,2746,0,0,0,0,4245,0
27,186.9954,5.683,Positive,9313,10428,10096,10637,11771,9847,11524,10330,10558,11064,9788,9576,10595,11872,11192,10498,10984,9941,11587,11566
28,191.1794,0.717,Positive,7049,16928,16561,5277,12123,9756,7398,2719,14663,7150,2451,2034,2061,7848,12371,0,8373,10291,3721,10504
30,204.1231,3.567,Positive,0,2818,0,4262,3210,8500,6689,7712,2912,7424,7234,0,2263,2804,2832,0,2477,6574,8302,4215
31,204.1231,3.833,Positive,2709,3547,0,3971,3217,3648,5974,5193,4135,10381,5218,0,3708,4920,3924,4900,3763,11271,12619,5029
33,229.1551,2.45,Positive,0,0,0,0,0,2122,0,2878,0,0,2704,0,0,0,0,0,0,2604,2368,0
34,229.1552,2.767,Positive,0,2018,2464,2351,0,2572,3149,4111,2272,0,2780,0,0,0,0,0,0,3468,3286,0
35,234.9174,5.367,Positive,0,2312,0,2086,2280,2653,4088,4849,3517,2332,2312,0,0,0,0,0,0,3070,2537,0
38,269.0883,1.483,Positive,0,3533,3439,2213,0,4221,3045,5737,4264,3419,5638,2342,0,0,0,0,0,5315,4869,2285
39,270.0824,7.217,Positive,0,0,2075,0,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2723
41,297.2428,0.717,Positive,0,4068,3882,0,2413,0,0,0,3337,0,0,0,0,0,2577,0,0,0,0,2649
42,310.0753,5.817,Positive,4116,2330,2951,2678,6426,2826,2882,2512,2861,3255,3005,2776,3182,2708,2919,5283,2699,2361,2668,6844
47,326.0491,5.483,Positive,6147,2903,3414,2547,7496,3568,3218,3245,3209,2842,4284,3401,3458,2980,3759,2929,3652,2506,2884,6038
49,332.2794,0.717,Positive,0,6462,5725,0,3764,3219,2495,0,5507,2401,0,0,0,2379,4334,0,2777,3379,0,3636
50,332.8943,5.367,Positive,0,2116,0,0,2124,2550,4163,5158,3536,2076,2203,0,0,0,0,0,0,2988,2347,0
51,337.2349,0.717,Positive,0,2344,0,0,0,0,0,0,2036,0,0,0,0,0,0,0,0,0,0,0
52,339.2676,0.8,Positive,3137,3916,3791,4191,3169,3212,3621,3898,3919,3648,4031,4542,3964,4278,4226,3150,4339,4349,4473,3606
53,339.2677,1.017,Positive,3084,2654,2829,2980,2726,2239,3028,2597,2703,2703,2654,2797,2291,2997,3062,2863,2815,2646,2922,2887
