FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4
LN0001,795.2609,20.0695,10094.61176,9104.741667,7915.714286,10621.8216,9107.811818,5518.4275,9486.138947,9121.098696,9068.7,7104.569412,8927.960526,7217.416667,10017.70412,8858.808,9346.053333,9226.4975,10739.04842,8674.82,10950.9,9099.867,8721.27,8851.479545,7802.910952,8458.553499
LN0002,794.7599,16.19573333,3805.8904,3830.958824,3145.080502,3634.208187,8217.65,2565.921282,2877.67725,3395.524105,2011.393813,3993.51475,2319.126563,2779.230385,3364.243312,2360.292725,2592.053304,2335.844455,3704.260909,3834.034167,2656.603,4042.354563,550.6251526,575.1209588,717.1534058,614.2998391
LN0003,794.6046,8.92425,33414.78487,32739.46468,37373.65465,46557.40826,30404.80846,33036.86813,40670.67303,38448.01494,30181.62744,48160.98806,36388.85545,35574.653,33282.353,50280.82806,43332.07086,37611.5075,37086.70575,35124.38881,38598.903,35169.3872,1015.035248,1584.231894,1465.190755,1354.819299
LN0004,794.5719,10.36938333,340638.1461,192607.6158,192636.7141,244951.6545,234884.625,165844.69,181019.3064,251313.8705,234833.1244,234521.2774,43316.29142,28728.85575,53502.9978,75324.741,82169.2794,60799.72547,77561.8788,104864.8422,110510.5748,113107.26,1126.443321,1820.47403,2174.701204,1707.206185
LN0005,794.535,7.54305,12930.38963,21456.15447,12541.20092,15872.26667,13062.52775,19602.55333,12727.878,19728.41967,14212.60223,19344.61083,34286.5985,38404.19014,5337.587,11660.7789,9928.761818,8016.52,7474.213333,17885.29209,21915.4395,25459.19654,357.9029985,315.8762113,307.1538391,326.977683
LN0006,794.4091,12.83525833,1678360.383,1491442.755,1696914.112,1216398.011,1653006.474,2168770.212,1409132.569,1406325.029,1171720.459,1947460.568,1246775.696,791373.4563,1065074.464,1154810.619,1158237.834,1683531.375,945712.944,1582078.92,917389.3427,1050920.887,582.6052824,585.9896851,536.6196976,568.4048884
LN0007,793.6548,13.06246667,8620.852313,9100.273538,10237.9235,9787.65375,9889.546364,8938.829154,36377.77222,10366.47446,8785.446312,10019.06015,9782.523,10011.875,8926.422,10177.15677,9319.548375,8897.821308,9378.539118,10423.93315,8663.862375,10280.97,5974.662964,9591.718897,12002.10874,9189.496866
LN0008,793.5701,15.153475,161999.1907,216076.4538,131924.695,163186.6173,169277.7532,132042.6354,184578.1837,143430.8685,198247.6608,116085.8768,210863.5982,178378.8611,204371.727,123730.0231,206552.444,123279.8356,170788.4004,130509.4371,242921.1594,187728.7915,67165.62162,73815.44371,73978.77584,71653.28039
LN0009,793.5699,20.29475,317134.836,301955.66,346239.1923,314187.7229,270262.122,273905.7009,343139.497,279893.2217,339263.7725,330194.58,291677.1843,353181.8608,325405.6825,274759.1148,305658.61,309377.7319,308411.264,278515.2835,359140.2785,376524.423,250243.8826,249207.6939,240261.3945,246570.9904
LN0010,351.2502,5.170733333,17878.74667,15717.48773,22891.99325,14033.05243,14180.7282,16282.84417,10859.53,22682.16289,11351.641,15737.54482,18172.3418,18213.67973,10751.95714,10958.65,11930.88753,10425.87,14180.1632,16885.77545,12977.19329,19685.12347,2077.492336,2579.392368,2858.277928,2505.054211
LN0011,792.5749,9.4836,1044096.525,560995.1529,567182.3069,617459.4787,690639.4338,649178.9525,624524.4319,776768.3312,793140.4888,797134.2625,334951.886,331282.9292,224973.7777,507110.5395,505586.2936,141336.0306,326137.8746,466441.1004,522084.8004,526265.413,465.6419391,316.3167917,301.7277985,361.2288431
LN0012,791.8949,12.84143333,5198.948322,3824.908,4511.595,2480.0076,4881.24,3528.345,4471.098333,4648.085154,3295.8084,6120.662538,3385.525846,2042.454857,3151.453933,3595.059021,3072.062727,4654.8636,2856.176154,4938.255,3188.586733,3102.484,369.0039833,410.4513991,366.9960938,382.1504921
