FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4
LP0001,626.5135946,11.33793333,4864.454945,4565.288461,5283.061445,4993.080245,5374.785319,5068.761729,5124.958395,5180.458896,4687.883949,5177.023431,4540.909822,4311.210348,4997.943814,5623.957258,4984.902988,5506.360535,5316.957815,5081.66632,4548.544717,4906.993053,25.70021711,6.861900795,5.78477562,4.917509154
LP0002,623.5014456,8.42715,2245.058504,2403.695553,1997.412906,2029.479423,2006.530195,2863.220208,2102.010466,2990.799157,1853.664264,2381.954241,1887.287333,2385.200175,566.4189222,989.9838928,650.8003731,681.6798567,829.3209259,1575.594598,1833.364047,1277.663747,11.46334421,21.51793304,13.3189328,17.26478706
LP0003,622.6838481,17.47275,2636.583334,1940.831401,2346.545946,2557.945777,2625.074922,1977.915895,2182.363254,2230.575027,1604.829481,1995.031444,2033.770938,2200.596079,1850.999767,2176.99439,1747.859325,1916.468048,1876.72841,1982.193876,1888.417245,1855.820245,1.565012601,2.459909984,2.742159542,3.482600166
LP0004,619.5267659,12.79616667,12133.61241,11779.92871,13765.82413,13888.66622,13844.50428,12398.22296,10737.23531,11417.63496,10539.94714,9462.443071,12416.65424,13182.77801,12988.8118,15491.30485,13011.75803,15140.79477,13823.16418,11197.63442,9820.823581,11349.72469,31.37181104,3.943447856,4.784312332,6.252228659
LP0005,618.2263237,7.68115,2560.645987,2606.805837,3618.185163,2232.390599,3995.490143,5236.835029,2267.01219,2084.74114,2731.928151,4123.369246,2690.519344,2093.846498,3697.049145,5477.258604,3820.335714,6473.308341,3616.012022,4821.224032,3007.594922,3516.072343,33.74193702,2.999994681,3.502282938,3.933939321
LP0006,617.5130149,11.87439167,5048.182774,9754.077302,8692.403733,8452.312113,16524.12645,13014.75909,15500.27093,19704.22601,15833.56669,18598.67073,13609.0612,7059.51218,4941.335068,14546.22941,5508.462355,3998.114829,4857.837191,9074.576198,7437.693674,8471.223963,14.81104307,4.01745832,3.716590303,5.193053206
LP0007,615.4957414,11.08453333,2152.598632,4107.187253,3910.668434,3132.653002,10854.7519,7728.606743,13431.30867,13907.13648,13484.59546,19174.18266,7357.179363,7796.078588,3871.209196,13345.04312,3967.774251,2608.940442,3748.983392,10282.67553,7474.707175,7333.208209,28.40003563,13.72562065,10.46216739,10.84095896
LP0008,613.2712407,7.681591667,38750.05111,24588.69757,30627.67021,25160.68953,36830.88846,58138.16168,24978.09031,24555.02583,22919.40438,38634.12215,21977.3616,18488.3957,20690.11903,29081.34951,22981.91401,39726.21603,20324.50896,38701.91166,22591.87778,24299.53248,5.659111702,3.022849727,2.33181972,2.630325534
LP0009,612.5554343,11.8823,3322.258347,4179.059653,3275.812111,4104.868513,8841.73527,6524.980676,11914.03479,15114.88919,8522.258085,9620.953784,4252.553709,3499.881635,1282.639349,4312.444673,1408.29554,864.0013343,1140.142939,3758.557693,3791.04057,3667.017897,3.045192065,0.785823845,0.670872709,0.038484395
LP0010,610.5393617,10.99266667,1794.550384,2428.696195,2097.019826,2051.630782,7052.790179,4788.733501,10660.22878,11692.66937,8241.807192,8956.283944,3430.774881,2783.263594,1106.345218,4331.26308,1102.384941,786.061015,1015.134471,3815.441206,3342.368269,3029.325545,21.28805733,5.509204465,6.136670967,4.918572109
LP0011,376.3040896,1.07445,11085.55572,28124.44855,31246.35779,13350.48271,10164.29739,4988.090711,26313.36412,35293.81411,26689.69329,12545.68184,9396.450163,25030.87704,9047.651145,28833.14925,8542.142567,10793.49139,7477.174164,36441.26881,11434.15605,2683.760623,7.495141453,8.793399625,11.02000146,10.78930128
LP0012,610.5399333,11.339,59984.29416,52951.20741,66175.4682,61157.54671,67829.40934,63574.02943,55418.54303,58573.82754,49227.10524,67032.09363,60303.73886,57224.34465,61304.04156,76378.52862,62950.01407,71750.80213,67484.33585,66869.52069,56189.64437,60455.4419,15.11639279,5.1961744,6.168273552,4.114601737
LP0013,608.6684399,17.4465,5198.873694,3873.602007,4698.996811,5057.727717,5313.513684,3916.777771,4374.498393,4392.130534,3091.146453,4019.852863,4229.401084,4651.071646,3927.876637,4573.761533,3699.940212,3899.261481,3898.970951,4118.134632,3780.999241,3909.324376,5.04462144,2.023858358,1.116914126,3.024841601
LP0014,607.5657336,13.71334167,11921.40492,9705.64456,11733.25682,12407.12993,13437.75276,10704.43037,11117.76564,12897.54723,9766.699593,10226.49987,10885.769,11578.21788,10211.04194,12043.12402,9884.748567,10992.35191,11118.64572,11698.20451,9551.276915,10504.99997,7.84888756,0.227924143,0.067196015,0.077851955
LP0015,607.3891994,10.66815833,2598.601377,1787.34689,2016.839405,2174.434851,2543.745427,2177.648254,1867.5596,1840.210953,1591.302069,2091.905963,2465.699374,2588.294502,1886.747221,1955.721962,1867.076766,2235.901195,2105.242383,2182.245712,2026.855895,2166.197324,10.44498216,4.872024973,6.37161847,6.777163583
LP0016,606.6532534,15.6274,2353.546172,1685.076195,1960.602505,2453.182222,2199.750072,1616.597727,1998.963878,2209.100415,1582.47373,1963.400274,1750.808513,1967.331835,1594.348937,2068.220257,1597.696352,1646.464258,1586.745281,1545.405521,1824.513065,1450.862249,0.635592232,1.385031382,1.997790163,3.321320773
LP0017,605.583964,11.336725,32323.86393,26491.89512,35995.73956,33597.27907,40142.71455,29587.40117,33609.45612,37977.73612,22371.63525,35790.47681,31863.85341,31506.68423,26692.85044,33455.82839,24880.54006,33454.73235,29043.92343,37272.51799,27600.96273,31954.32047,1.535083106,0.093402688,0.059384334,0
