FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4
MN0001,79.9573,3.85,119.2591447,157.0390301,144.7553924,152.824101,190.0288631,205.2098469,240.7264083,347.7055086,233.4463439,145.1518499,182.4020909,97.34682498,61.71614314,79.68564824,54.04084317,57.2525714,71.84661266,198.0259675,178.6772452,171.6729837,10.12782571,7.041200102,6.900192938,6.40533298
MN0002,79.9578,3.133,666.2141934,921.2254252,855.9310253,908.0031725,1090.486142,1050.915037,1444.094221,1659.217933,1178.524217,896.9364215,1075.299111,645.1463341,335.2930114,429.6519644,306.6182229,327.8569191,374.9795895,1153.711704,937.8505211,940.3952935,5.351614989,4.136625141,3.506019015,3.766520983
MN0003,89.0247,1.95,1827.506598,2105.466538,2161.949163,2424.069249,2358.974796,3290.86175,3279.426242,5100.119448,4209.690783,2599.553426,1920.243918,828.9681539,1066.470026,1655.641214,1099.520147,854.8044568,861.3271687,2730.323542,3038.646761,2014.45352,42.33165477,87.6333536,27.24970621,19.88229407
MN0004,122.0859,3,4552.052394,4546.280369,4767.906222,4492.540189,4881.706244,4238.160825,4406.587564,4169.564142,4020.959223,4899.337715,4935.272048,5222.132226,4913.010201,4543.58313,4958.048676,4258.435646,4748.334658,3819.914957,5026.874101,4519.319472,5.410940761,1.199406274,0.622228172,0.510823802
MN0005,124.0074,3.85,1186.586113,1291.477755,1405.05108,1364.401827,1655.944654,1259.30809,1459.742871,3336.12004,1429.831892,1233.460595,1375.690872,784.2698233,411.4082896,772.7714631,470.6582965,475.0400741,650.7407964,1911.576637,1714.815338,1494.827269,6.691041386,1.613157915,1.778763923,1.34258067
MN0006,124.0076,3.45,3692.852899,5062.411626,5102.386261,5461.330497,5643.211037,5909.234331,7318.839034,9363.268897,6906.739755,5499.821668,5657.936365,3374.830544,1861.979809,2536.967433,2040.352315,2071.523688,2063.512471,6454.755291,6189.118021,5036.447402,6.672363625,5.142263114,2.166616197,1.482096889
MN0007,124.0079,3.133,5138.336676,6977.081864,6635.783011,6863.749306,8082.803749,7848.517297,10850.75039,12569.78416,9067.5545,6864.12833,8933.833762,4889.459107,2677.683776,3325.074734,2722.314894,2895.032423,2891.158952,8786.045628,8172.911319,6979.036065,2.170601648,1.16552885,0.71996953,0.216753779
MN0008,133.0144,6.983,1172.367989,1363.244347,1761.685027,1456.821226,1587.401021,2022.397541,2115.685666,2612.481155,2265.40383,1151.312505,1765.332515,1078.517618,432.5136177,670.5784381,446.0072959,376.9699048,498.1421675,1433.841243,1403.120044,1225.550687,15.8335723,50.77032489,45.57245552,40.79272214
MN0009,133.0145,6.7,1654.206968,1947.963234,2470.034745,2000.564121,2364.186828,2848.549367,3267.469515,3993.722283,3160.297548,1648.637558,2440.417332,1484.858327,625.3408079,920.6919983,672.5912184,538.590338,711.6181635,2040.004817,1990.860212,1748.601293,9.732408284,60.27156685,73.13318486,58.40140937
MN0010,141.0168,5.35,194.6314092,197.6600604,189.6355331,194.3997541,197.8036825,196.0060099,194.5476593,209.5125806,196.9471187,189.4488012,41.98985421,175.0865125,176.9746685,190.0325061,179.7163022,175.5655101,185.8253214,188.4025436,198.0560689,199.9176472,102.2790152,218.7821999,194.0629388,204.0883615
