FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4
MP0001,77.0911,3.2,1573.264227,1619.337992,1599.757301,1714.413987,2097.074676,1546.755731,1465.344238,1387.086787,1391.854428,1789.699773,1711.255141,1891.128078,1704.194603,1299.172937,1927.400403,1335.099513,1624.724577,1508.479519,1768.392839,1632.661531,1.875056998,1.407118711,1.709246507,1.736237334
MP0002,77.0912,2.883,1290.173736,1715.044563,1655.589872,1714.127001,445.919733,1573.493478,1677.437439,1479.667631,1454.208028,1874.018086,1746.875319,1688.697132,1807.409345,1535.346783,1767.035833,1518.963847,1575.245493,1637.672986,1643.981911,1208.256547,1.200872366,1.055938244,1.553461324,1.555831734
MP0003,104.107,3.667,5497.290502,4346.098236,4682.90501,4707.194498,6122.26596,7278.707624,8664.915631,11661.73739,8326.31531,4884.268595,4322.518323,2594.744238,3213.462024,5129.895977,3966.026724,3004.315321,4363.567891,6020.610641,5304.101687,5604.356094,3.3371972,3.871657174,4.610080176,4.501125169
MP0004,104.9918,5.7,1362.788117,1322.140476,1287.381077,1344.185236,1426.828444,1266.253947,1466.518106,1317.026519,1340.381195,1388.862146,1261.889945,1236.761121,1300.194334,1505.710322,1394.54016,1272.081206,1406.508393,1247.54967,1433.43301,1334.141765,3.930886924,3.605206836,4.033284905,211.3905649
MP0005,118.0861,2.417,568.038019,818.3453328,829.0949402,2463.205087,11.03084872,1014.505764,1506.680422,1971.789523,1065.039439,2207.304098,1650.613947,752.7134557,701.6757008,1848.561385,1077.319481,445.6063074,1098.550852,2901.790049,2409.711327,939.2805021,12.16363021,13.11118674,14.50758348,13.37127849
MP0006,118.0861,2.65,1214.201781,1208.321344,924.4722284,3033.75469,39.82725432,1389.85486,2121.661486,2203.301656,1476.333726,3292.885242,2372.14392,961.0832997,1019.357368,2226.525335,1618.600227,937.9979221,1267.570021,3909.144146,3782.569817,2572.629475,9.900538616,11.61456573,12.33860541,15.0217644
MP0007,124.0998,2.883,846.804393,1194.038866,1170.791544,1202.210481,233.9283517,1086.280536,1176.439291,1037.921575,998.3736525,1344.007473,1187.56097,1378.114719,1122.002409,1084.937888,1269.555265,1070.713175,1095.980178,1120.964322,1248.479559,992.1739633,7.021124728,9.2109538,9.68061897,9.527895188
MP0008,124.0998,3.2,1338.566123,1313.298946,1255.531965,1265.383321,1106.582649,1193.549797,1226.709643,993.1146702,1124.352458,1428.60107,1399.034055,1504.000165,1186.162127,1103.7642,1416.048197,1076.553264,1168.229082,1207.07024,1304.773486,1100.913879,9.52414836,11.09179671,14.50514972,10.67590567
MP0009,126.0215,3.817,349.5690896,506.2895762,426.6601713,554.2080519,529.3656163,580.9620846,912.1566702,1082.300222,735.2074591,488.3068582,582.2068492,266.5610242,118.8281524,149.0277492,104.311678,118.6180672,110.20573,770.4419437,593.7530862,497.8296974,1.542620495,1.785862024,1.735944369,1.425059375
MP0010,126.0217,3.4,1362.69132,2308.059122,2218.303396,2632.830212,1933.939634,2933.389758,3935.482358,5071.988578,3355.889462,2216.556475,3079.736308,1430.305238,519.6750734,795.1278159,513.6339758,416.8359716,614.1576341,3323.269874,2819.564018,1457.675539,3.489798102,4.837798055,5.027004546,6.571760445
